starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 19 20:25:40 2018	1516393540	50	55	105	55
Fri Jan 19 20:25:47 2018	1516393547	57	50	107	49
Fri Jan 19 20:25:51 2018	1516393551	52	56	108	56
Fri Jan 19 20:25:47 2018	1516393547	52	57	108	56
Fri Jan 19 20:25:42 2018	1516393542	55	54	109	53
Fri Jan 19 20:26:06 2018	1516393566	52	56	109	56
Fri Jan 19 20:26:13 2018	1516393573	55	54	109	54
Fri Jan 19 20:26:18 2018	1516393578	52	56	109	56
Fri Jan 19 20:25:57 2018	1516393557	52	57	109	57
Fri Jan 19 20:26:09 2018	1516393569	53	56	109	56
Fri Jan 19 20:25:48 2018	1516393548	58	51	109	51
Fri Jan 19 20:26:01 2018	1516393561	52	58	109	57
Fri Jan 19 20:26:00 2018	1516393560	56	54	110	53
Fri Jan 19 20:26:19 2018	1516393579	55	55	110	55
Fri Jan 19 20:26:19 2018	1516393579	53	59	112	58
Fri Jan 19 20:26:00 2018	1516393560	51	61	112	61
Fri Jan 19 20:26:11 2018	1516393571	54	58	112	58
Fri Jan 19 20:26:10 2018	1516393570	52	60	112	60
Fri Jan 19 20:25:56 2018	1516393556	53	60	113	59
Fri Jan 19 20:26:13 2018	1516393573	52	61	113	61
Fri Jan 19 20:26:01 2018	1516393561	55	58	113	57
Fri Jan 19 20:25:53 2018	1516393553	53	60	113	59
Fri Jan 19 20:26:01 2018	1516393561	51	62	113	59
Fri Jan 19 20:25:38 2018	1516393538	53	60	113	60
Fri Jan 19 20:25:42 2018	1516393542	59	55	114	53
Fri Jan 19 20:26:01 2018	1516393561	55	59	114	59
Fri Jan 19 20:26:09 2018	1516393569	56	58	114	58
Fri Jan 19 20:26:10 2018	1516393570	53	61	114	60
Fri Jan 19 20:26:20 2018	1516393580	57	58	115	58
Fri Jan 19 20:26:16 2018	1516393576	61	54	115	54
Fri Jan 19 20:26:11 2018	1516393571	56	59	115	58
Fri Jan 19 20:25:46 2018	1516393546	56	59	115	55
Fri Jan 19 20:25:47 2018	1516393547	52	63	115	62
Fri Jan 19 20:26:08 2018	1516393568	57	58	115	55
Fri Jan 19 20:25:42 2018	1516393542	57	58	115	58
Fri Jan 19 20:26:00 2018	1516393560	58	58	116	56
Fri Jan 19 20:25:29 2018	1516393529	55	61	116	60
Fri Jan 19 20:25:37 2018	1516393537	58	58	116	58
Fri Jan 19 20:25:51 2018	1516393551	57	59	116	58
Fri Jan 19 20:26:12 2018	1516393572	55	61	116	61
Fri Jan 19 20:25:59 2018	1516393559	60	56	116	56
Fri Jan 19 20:26:00 2018	1516393560	53	63	116	62
Fri Jan 19 20:26:11 2018	1516393571	57	59	116	58
Fri Jan 19 20:25:45 2018	1516393545	56	60	116	60
Fri Jan 19 20:26:12 2018	1516393572	58	58	116	58
Fri Jan 19 20:26:12 2018	1516393572	55	61	117	61
Fri Jan 19 20:26:16 2018	1516393576	55	61	117	59
Fri Jan 19 20:26:04 2018	1516393564	54	62	117	61
Fri Jan 19 20:26:08 2018	1516393568	58	59	117	58
Fri Jan 19 20:25:37 2018	1516393537	56	61	117	61
Fri Jan 19 20:25:37 2018	1516393537	59	58	117	58
Fri Jan 19 20:25:47 2018	1516393547	57	60	117	60
