starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 20 08:14:46 2018	1516436086	80	113	193	111
Sat Jan 20 08:14:45 2018	1516436085	80	128	208	127
Sat Jan 20 08:14:46 2018	1516436086	73	139	212	106
Sat Jan 20 08:14:46 2018	1516436086	60	168	228	168
Sat Jan 20 08:16:31 2018	1516436191	140	89	229	82
Sat Jan 20 08:16:31 2018	1516436191	141	89	230	82
Sat Jan 20 08:14:45 2018	1516436085	53	181	234	180
Sat Jan 20 08:15:59 2018	1516436159	118	118	236	100
Sat Jan 20 08:15:59 2018	1516436159	118	118	236	100
Sat Jan 20 08:14:44 2018	1516436084	57	179	236	179
Sat Jan 20 08:14:46 2018	1516436086	90	147	237	136
Sat Jan 20 08:14:45 2018	1516436085	60	187	246	186
Sat Jan 20 08:14:45 2018	1516436085	51	198	249	197
Sat Jan 20 08:14:46 2018	1516436086	59	192	251	191
Sat Jan 20 08:14:45 2018	1516436085	51	212	262	211
Sat Jan 20 08:15:59 2018	1516436159	181	83	264	80
Sat Jan 20 08:14:46 2018	1516436086	105	160	265	158
Sat Jan 20 08:14:46 2018	1516436086	106	160	266	159
Sat Jan 20 08:16:22 2018	1516436182	166	108	273	92
Sat Jan 20 08:14:46 2018	1516436086	66	216	282	215
Sat Jan 20 08:14:57 2018	1516436097	215	70	285	58
Sat Jan 20 08:15:59 2018	1516436159	132	163	294	147
Sat Jan 20 08:15:59 2018	1516436159	137	158	295	142
Sat Jan 20 08:14:46 2018	1516436086	67	231	298	231
Sat Jan 20 08:15:59 2018	1516436159	181	119	300	83
Sat Jan 20 08:14:45 2018	1516436085	62	239	301	229
Sat Jan 20 08:14:46 2018	1516436086	72	230	302	219
Sat Jan 20 08:16:00 2018	1516436160	188	116	304	89
Sat Jan 20 08:16:00 2018	1516436160	189	116	304	89
Sat Jan 20 08:16:00 2018	1516436160	189	116	304	90
Sat Jan 20 08:16:00 2018	1516436160	189	116	304	89
Sat Jan 20 08:14:43 2018	1516436083	55	250	305	250
Sat Jan 20 08:16:00 2018	1516436160	190	115	305	90
Sat Jan 20 08:16:00 2018	1516436160	191	116	306	90
Sat Jan 20 08:16:00 2018	1516436160	190	117	307	103
Sat Jan 20 08:16:24 2018	1516436184	225	84	309	63
Sat Jan 20 08:16:10 2018	1516436170	193	117	310	107
Sat Jan 20 08:16:10 2018	1516436170	193	118	311	107
Sat Jan 20 08:16:10 2018	1516436170	194	117	311	107
Sat Jan 20 08:16:10 2018	1516436170	194	118	311	107
Sat Jan 20 08:16:10 2018	1516436170	194	118	312	107
Sat Jan 20 08:16:10 2018	1516436170	194	117	312	107
Sat Jan 20 08:16:10 2018	1516436170	195	117	312	108
Sat Jan 20 08:15:32 2018	1516436132	209	104	313	96
Sat Jan 20 08:15:32 2018	1516436132	209	104	314	95
