starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 20 07:08:14 2018	1516432094	476	699	1175	581
Sat Jan 20 07:08:44 2018	1516432124	613	614	1227	470
Sat Jan 20 07:08:20 2018	1516432100	721	615	1336	499
Sat Jan 20 07:08:17 2018	1516432097	372	1001	1373	883
Sat Jan 20 07:08:19 2018	1516432099	376	1074	1450	731
Sat Jan 20 07:08:32 2018	1516432112	544	945	1489	639
Sat Jan 20 07:08:29 2018	1516432109	614	922	1536	615
Sat Jan 20 07:08:59 2018	1516432139	487	1049	1536	742
Sat Jan 20 07:08:42 2018	1516432122	630	907	1537	599
Sat Jan 20 07:08:30 2018	1516432110	922	660	1582	542
Sat Jan 20 07:08:16 2018	1516432096	902	706	1608	587
Sat Jan 20 07:08:50 2018	1516432130	921	721	1642	603
Sat Jan 20 07:08:45 2018	1516432125	922	732	1654	614
Sat Jan 20 07:08:21 2018	1516432101	777	922	1699	615
Sat Jan 20 07:08:47 2018	1516432127	798	926	1724	619
Sat Jan 20 07:08:52 2018	1516432132	814	923	1737	620
Sat Jan 20 07:08:13 2018	1516432093	922	881	1803	615
Sat Jan 20 07:08:25 2018	1516432105	907	918	1826	612
Sat Jan 20 07:08:54 2018	1516432134	922	920	1842	614
Sat Jan 20 07:08:41 2018	1516432121	921	921	1842	615
Sat Jan 20 07:08:58 2018	1516432138	921	921	1843	615
Sat Jan 20 07:08:35 2018	1516432115	921	922	1843	615
Sat Jan 20 07:08:37 2018	1516432117	922	921	1843	614
Sat Jan 20 07:08:27 2018	1516432107	921	922	1843	615
Sat Jan 20 07:08:56 2018	1516432136	921	922	1843	615
Sat Jan 20 07:08:33 2018	1516432113	921	922	1843	615
Sat Jan 20 07:08:49 2018	1516432129	922	922	1844	615
Sat Jan 20 07:08:39 2018	1516432119	922	922	1844	615
Sat Jan 20 07:08:23 2018	1516432103	921	938	1860	614
Sat Jan 20 07:08:11 2018	1516432091	922	1228	2150	921
Sat Jan 20 07:08:01 2018	1516432081	840	8294	9134	7988
