starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 20 07:46:15 2018	1516434375	401	296	697	286
Sat Jan 20 07:46:18 2018	1516434378	543	160	703	135
Sat Jan 20 07:46:18 2018	1516434378	544	163	707	136
Sat Jan 20 07:46:18 2018	1516434378	544	166	710	143
Sat Jan 20 07:46:18 2018	1516434378	542	168	710	144
Sat Jan 20 07:46:18 2018	1516434378	544	167	710	143
Sat Jan 20 07:46:18 2018	1516434378	542	170	712	144
Sat Jan 20 07:46:18 2018	1516434378	544	168	712	143
Sat Jan 20 07:46:18 2018	1516434378	568	158	726	146
Sat Jan 20 07:46:18 2018	1516434378	551	176	727	163
Sat Jan 20 07:46:18 2018	1516434378	558	170	728	155
Sat Jan 20 07:46:18 2018	1516434378	591	154	745	137
Sat Jan 20 07:46:18 2018	1516434378	583	163	746	145
Sat Jan 20 07:46:18 2018	1516434378	601	144	746	127
Sat Jan 20 07:46:18 2018	1516434378	573	173	746	154
Sat Jan 20 07:46:18 2018	1516434378	601	148	748	129
Sat Jan 20 07:46:18 2018	1516434378	591	157	748	139
Sat Jan 20 07:46:18 2018	1516434378	609	141	750	141
Sat Jan 20 07:46:18 2018	1516434378	618	133	750	132
Sat Jan 20 07:46:20 2018	1516434380	590	163	753	158
Sat Jan 20 07:46:20 2018	1516434380	590	163	753	158
Sat Jan 20 07:46:20 2018	1516434380	590	163	753	157
Sat Jan 20 07:46:20 2018	1516434380	590	163	753	159
Sat Jan 20 07:46:20 2018	1516434380	591	163	754	157
Sat Jan 20 07:46:20 2018	1516434380	591	163	754	158
Sat Jan 20 07:46:20 2018	1516434380	591	163	754	158
Sat Jan 20 07:46:20 2018	1516434380	591	163	754	157
Sat Jan 20 07:46:20 2018	1516434380	591	163	754	157
Sat Jan 20 07:46:20 2018	1516434380	591	163	754	158
Sat Jan 20 07:46:20 2018	1516434380	591	163	754	158
Sat Jan 20 07:46:20 2018	1516434380	591	163	754	158
Sat Jan 20 07:46:20 2018	1516434380	591	163	754	158
Sat Jan 20 07:46:20 2018	1516434380	591	163	755	158
Sat Jan 20 07:46:20 2018	1516434380	592	163	755	158
Sat Jan 20 07:46:20 2018	1516434380	592	163	755	158
Sat Jan 20 07:46:18 2018	1516434378	608	156	765	136
Sat Jan 20 07:46:18 2018	1516434378	618	147	765	127
Sat Jan 20 07:46:15 2018	1516434375	645	120	765	120
Sat Jan 20 07:46:15 2018	1516434375	644	125	769	125
Sat Jan 20 07:46:15 2018	1516434375	645	126	771	125
Sat Jan 20 07:46:15 2018	1516434375	646	125	772	125
Sat Jan 20 07:46:15 2018	1516434375	633	142	776	125
Sat Jan 20 07:46:15 2018	1516434375	633	145	778	141
Sat Jan 20 07:46:15 2018	1516434375	634	144	778	141
Sat Jan 20 07:46:15 2018	1516434375	656	122	778	121
Sat Jan 20 07:46:15 2018	1516434375	634	145	779	141
Sat Jan 20 07:46:15 2018	1516434375	655	124	779	123
Sat Jan 20 07:46:15 2018	1516434375	655	124	779	122
