starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 09 15:08:30 2018	1520608110	391	578	969	462
Fri Mar 09 15:08:29 2018	1520608109	382	604	986	571
Fri Mar 09 15:06:12 2018	1520607972	425	582	1007	470
Fri Mar 09 15:06:12 2018	1520607972	425	603	1028	486
Fri Mar 09 15:08:29 2018	1520608109	421	619	1040	529
Fri Mar 09 15:08:29 2018	1520608109	421	620	1040	538
Fri Mar 09 15:08:29 2018	1520608109	421	620	1041	538
Fri Mar 09 15:06:28 2018	1520607988	455	596	1052	476
Fri Mar 09 15:07:21 2018	1520608041	399	653	1052	568
Fri Mar 09 15:08:21 2018	1520608101	470	588	1058	480
Fri Mar 09 15:08:21 2018	1520608101	473	587	1060	480
Fri Mar 09 15:08:21 2018	1520608101	469	597	1066	480
Fri Mar 09 15:08:21 2018	1520608101	473	595	1068	480
Fri Mar 09 15:08:29 2018	1520608109	398	672	1071	640
Fri Mar 09 15:08:29 2018	1520608109	437	634	1071	619
Fri Mar 09 15:08:29 2018	1520608109	427	644	1071	629
Fri Mar 09 15:07:38 2018	1520608058	482	595	1076	477
Fri Mar 09 15:07:38 2018	1520608058	487	591	1078	472
Fri Mar 09 15:08:16 2018	1520608096	458	620	1078	493
Fri Mar 09 15:07:38 2018	1520608058	495	590	1085	470
Fri Mar 09 15:08:29 2018	1520608109	437	652	1089	620
Fri Mar 09 15:08:16 2018	1520608096	506	584	1090	470
Fri Mar 09 15:07:38 2018	1520608058	509	585	1093	467
Fri Mar 09 15:08:08 2018	1520608088	516	578	1094	461
Fri Mar 09 15:06:48 2018	1520608008	440	654	1094	536
Fri Mar 09 15:08:08 2018	1520608088	519	581	1100	463
Fri Mar 09 15:08:08 2018	1520608088	519	582	1101	465
Fri Mar 09 15:08:18 2018	1520608098	473	628	1101	502
Fri Mar 09 15:08:18 2018	1520608098	474	629	1102	501
Fri Mar 09 15:08:08 2018	1520608088	519	583	1103	465
Fri Mar 09 15:08:18 2018	1520608098	473	630	1103	503
Fri Mar 09 15:08:18 2018	1520608098	472	631	1104	502
Fri Mar 09 15:08:18 2018	1520608098	473	631	1104	502
Fri Mar 09 15:07:20 2018	1520608040	524	582	1106	491
Fri Mar 09 15:08:08 2018	1520608088	522	585	1107	466
Fri Mar 09 15:08:08 2018	1520608088	519	591	1110	473
Fri Mar 09 15:08:08 2018	1520608088	516	596	1112	477
Fri Mar 09 15:08:08 2018	1520608088	522	592	1114	473
Fri Mar 09 15:08:08 2018	1520608088	534	581	1115	465
Fri Mar 09 15:08:17 2018	1520608097	528	591	1119	479
Fri Mar 09 15:08:08 2018	1520608088	530	592	1122	476
Fri Mar 09 15:08:08 2018	1520608088	537	589	1125	471
Fri Mar 09 15:08:08 2018	1520608088	552	575	1128	459
Fri Mar 09 15:08:08 2018	1520608088	543	596	1138	471
Fri Mar 09 15:08:08 2018	1520608088	520	629	1150	510
Fri Mar 09 15:08:08 2018	1520608088	560	592	1152	469
Fri Mar 09 15:08:08 2018	1520608088	521	632	1153	513
Fri Mar 09 15:06:10 2018	1520607970	539	622	1160	547
Fri Mar 09 15:06:10 2018	1520607970	538	623	1162	546
Fri Mar 09 15:06:10 2018	1520607970	538	624	1162	548
Fri Mar 09 15:08:08 2018	1520608088	578	588	1167	465
Fri Mar 09 15:08:15 2018	1520608095	579	590	1169	532
Fri Mar 09 15:08:08 2018	1520608088	585	585	1170	466
Fri Mar 09 15:08:17 2018	1520608097	541	630	1171	512
Fri Mar 09 15:08:32 2018	1520608112	591	580	1171	492
Fri Mar 09 15:06:10 2018	1520607970	561	611	1172	536
Fri Mar 09 15:06:10 2018	1520607970	561	614	1175	537
Fri Mar 09 15:06:10 2018	1520607970	563	613	1176	572
Fri Mar 09 15:06:10 2018	1520607970	563	613	1176	537
Fri Mar 09 15:06:10 2018	1520607970	587	589	1177	546
Fri Mar 09 15:06:10 2018	1520607970	564	614	1178	537
Fri Mar 09 15:06:10 2018	1520607970	580	599	1179	554
Fri Mar 09 15:06:10 2018	1520607970	580	599	1179	555
Fri Mar 09 15:06:10 2018	1520607970	580	600	1180	555
Fri Mar 09 15:08:08 2018	1520608088	599	582	1181	466
Fri Mar 09 15:08:08 2018	1520608088	516	667	1183	550
Fri Mar 09 15:06:10 2018	1520607970	429	755	1184	528
Fri Mar 09 15:06:10 2018	1520607970	570	614	1184	537
Fri Mar 09 15:06:10 2018	1520607970	563	621	1184	544
Fri Mar 09 15:06:10 2018	1520607970	564	621	1185	544
Fri Mar 09 15:08:27 2018	1520608107	558	628	1187	613
Fri Mar 09 15:08:30 2018	1520608110	550	638	1188	610
Fri Mar 09 15:08:08 2018	1520608088	611	578	1189	461
Fri Mar 09 15:06:10 2018	1520607970	566	624	1190	528
Fri Mar 09 15:06:10 2018	1520607970	595	594	1190	538
Fri Mar 09 15:06:10 2018	1520607970	603	587	1190	536
Fri Mar 09 15:08:27 2018	1520608107	561	629	1190	613
Fri Mar 09 15:06:10 2018	1520607970	568	623	1191	581
Fri Mar 09 15:06:10 2018	1520607970	436	756	1192	530
