starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 20 16:03:43 2018	1516464223	377	132	509	132
Sat Jan 20 16:03:42 2018	1516464222	421	127	548	125
Sat Jan 20 16:03:32 2018	1516464212	420	137	558	136
Sat Jan 20 16:03:44 2018	1516464224	415	153	567	152
Sat Jan 20 16:03:42 2018	1516464222	421	147	568	147
Sat Jan 20 16:03:42 2018	1516464222	430	139	569	138
Sat Jan 20 16:03:42 2018	1516464222	430	142	572	139
Sat Jan 20 16:03:39 2018	1516464219	419	155	574	153
Sat Jan 20 16:03:35 2018	1516464215	435	140	575	140
Sat Jan 20 16:03:42 2018	1516464222	431	152	583	150
Sat Jan 20 16:03:42 2018	1516464222	432	153	585	153
Sat Jan 20 16:03:36 2018	1516464216	438	148	586	148
Sat Jan 20 16:03:36 2018	1516464216	438	154	592	153
Sat Jan 20 16:03:36 2018	1516464216	438	155	593	154
Sat Jan 20 16:03:36 2018	1516464216	438	156	594	153
Sat Jan 20 16:03:36 2018	1516464216	439	156	595	156
Sat Jan 20 16:03:36 2018	1516464216	438	157	595	154
Sat Jan 20 16:03:36 2018	1516464216	439	157	596	154
Sat Jan 20 16:03:42 2018	1516464222	458	142	600	141
Sat Jan 20 16:03:42 2018	1516464222	458	143	601	141
Sat Jan 20 16:03:56 2018	1516464236	451	152	603	150
Sat Jan 20 16:03:42 2018	1516464222	463	145	607	145
Sat Jan 20 16:03:42 2018	1516464222	468	145	613	145
Sat Jan 20 16:03:44 2018	1516464224	373	246	619	245
Sat Jan 20 16:03:36 2018	1516464216	470	153	623	152
Sat Jan 20 16:03:36 2018	1516464216	470	154	623	153
Sat Jan 20 16:03:36 2018	1516464216	471	153	623	153
Sat Jan 20 16:03:36 2018	1516464216	477	148	624	144
Sat Jan 20 16:03:36 2018	1516464216	470	155	625	153
Sat Jan 20 16:03:36 2018	1516464216	485	149	634	147
Sat Jan 20 16:03:37 2018	1516464217	429	205	634	205
Sat Jan 20 16:03:36 2018	1516464216	474	161	635	159
Sat Jan 20 16:03:36 2018	1516464216	493	142	635	141
Sat Jan 20 16:03:37 2018	1516464217	429	206	635	205
Sat Jan 20 16:03:42 2018	1516464222	507	128	635	128
Sat Jan 20 16:03:36 2018	1516464216	483	153	636	151
Sat Jan 20 16:03:36 2018	1516464216	481	156	637	154
Sat Jan 20 16:03:36 2018	1516464216	473	165	638	164
Sat Jan 20 16:03:36 2018	1516464216	511	129	640	128
Sat Jan 20 16:03:35 2018	1516464215	519	125	644	125
Sat Jan 20 16:03:36 2018	1516464216	510	136	646	135
Sat Jan 20 16:03:42 2018	1516464222	509	137	646	137
Sat Jan 20 16:03:42 2018	1516464222	520	126	647	125
Sat Jan 20 16:03:42 2018	1516464222	510	139	649	137
Sat Jan 20 16:01:51 2018	1516464111	457	193	649	188
Sat Jan 20 16:01:51 2018	1516464111	457	193	649	187
Sat Jan 20 16:01:51 2018	1516464111	457	193	650	188
Sat Jan 20 16:03:42 2018	1516464222	522	128	650	127
Sat Jan 20 16:03:36 2018	1516464216	518	132	650	129
Sat Jan 20 16:01:51 2018	1516464111	457	193	650	188
Sat Jan 20 16:01:51 2018	1516464111	457	193	650	187
Sat Jan 20 16:01:51 2018	1516464111	457	193	650	188
Sat Jan 20 16:01:51 2018	1516464111	458	193	650	187
Sat Jan 20 16:02:32 2018	1516464152	466	190	656	185
Sat Jan 20 16:03:42 2018	1516464222	516	142	657	141
Sat Jan 20 16:03:35 2018	1516464215	387	275	661	219
Sat Jan 20 16:03:10 2018	1516464190	509	156	666	155
Sat Jan 20 16:03:10 2018	1516464190	510	160	669	157
Sat Jan 20 16:03:10 2018	1516464190	509	161	670	155
Sat Jan 20 16:03:10 2018	1516464190	535	135	670	134
Sat Jan 20 16:03:35 2018	1516464215	453	218	671	215
Sat Jan 20 16:03:35 2018	1516464215	463	208	672	205
Sat Jan 20 16:03:42 2018	1516464222	539	136	676	136
Sat Jan 20 16:03:40 2018	1516464220	520	155	676	155
Sat Jan 20 16:03:10 2018	1516464190	509	168	677	168
Sat Jan 20 16:03:35 2018	1516464215	504	173	677	173
Sat Jan 20 16:03:40 2018	1516464220	524	155	679	155
Sat Jan 20 16:01:52 2018	1516464112	521	158	679	141
Sat Jan 20 16:03:35 2018	1516464215	505	178	683	178
Sat Jan 20 16:03:35 2018	1516464215	504	181	685	178
Sat Jan 20 16:01:51 2018	1516464111	491	194	685	189
Sat Jan 20 16:03:40 2018	1516464220	530	155	685	155
Sat Jan 20 16:03:35 2018	1516464215	504	182	686	178
Sat Jan 20 16:03:35 2018	1516464215	507	181	688	179
Sat Jan 20 16:02:47 2018	1516464167	539	149	688	149
Sat Jan 20 16:03:35 2018	1516464215	519	169	688	169
Sat Jan 20 16:02:47 2018	1516464167	540	149	689	148
Sat Jan 20 16:03:35 2018	1516464215	507	182	690	179
Sat Jan 20 16:02:47 2018	1516464167	540	150	690	148
Sat Jan 20 16:03:35 2018	1516464215	469	223	692	198
Sat Jan 20 16:03:10 2018	1516464190	535	158	693	156
Sat Jan 20 16:03:35 2018	1516464215	467	229	696	228
Sat Jan 20 16:03:35 2018	1516464215	467	229	696	228
Sat Jan 20 16:03:46 2018	1516464226	517	180	697	145
Sat Jan 20 16:03:46 2018	1516464226	516	181	697	180
Sat Jan 20 16:03:46 2018	1516464226	517	181	697	180
Sat Jan 20 16:03:46 2018	1516464226	537	161	697	160
Sat Jan 20 16:03:46 2018	1516464226	537	160	698	160
Sat Jan 20 16:03:35 2018	1516464215	475	222	698	221
Sat Jan 20 16:03:46 2018	1516464226	517	181	698	180
Sat Jan 20 16:03:46 2018	1516464226	517	181	698	181
Sat Jan 20 16:03:46 2018	1516464226	527	171	699	171
Sat Jan 20 16:03:46 2018	1516464226	539	160	699	159
Sat Jan 20 16:03:56 2018	1516464236	452	247	699	247
Sat Jan 20 16:03:46 2018	1516464226	558	142	699	141
Sat Jan 20 16:03:15 2018	1516464195	522	178	700	178
Sat Jan 20 16:03:35 2018	1516464215	520	182	701	179
Sat Jan 20 16:03:40 2018	1516464220	543	159	702	159
Sat Jan 20 16:03:47 2018	1516464227	495	208	702	207
Sat Jan 20 16:03:37 2018	1516464217	429	274	702	255
Sat Jan 20 16:03:40 2018	1516464220	543	160	702	159
Sat Jan 20 16:03:10 2018	1516464190	534	169	703	168
Sat Jan 20 16:02:59 2018	1516464179	556	149	706	149
Sat Jan 20 16:03:40 2018	1516464220	546	162	708	160
Sat Jan 20 16:03:40 2018	1516464220	547	161	708	160
Sat Jan 20 16:03:56 2018	1516464236	464	245	709	245
Sat Jan 20 16:03:42 2018	1516464222	465	246	710	186
Sat Jan 20 16:03:46 2018	1516464226	559	152	711	152
Sat Jan 20 16:03:46 2018	1516464226	572	139	712	139
Sat Jan 20 16:03:46 2018	1516464226	565	147	712	146
Sat Jan 20 16:03:35 2018	1516464215	480	234	713	217
Sat Jan 20 16:03:40 2018	1516464220	543	171	714	171
Sat Jan 20 16:03:40 2018	1516464220	543	171	714	170
Sat Jan 20 16:03:35 2018	1516464215	461	253	714	253
Sat Jan 20 16:03:35 2018	1516464215	461	254	714	221
Sat Jan 20 16:03:35 2018	1516464215	484	230	714	229
Sat Jan 20 16:03:35 2018	1516464215	460	254	714	253
Sat Jan 20 16:03:35 2018	1516464215	461	254	714	253
Sat Jan 20 16:03:35 2018	1516464215	485	229	714	228
Sat Jan 20 16:03:35 2018	1516464215	485	229	714	228
Sat Jan 20 16:03:35 2018	1516464215	485	230	714	228
Sat Jan 20 16:03:35 2018	1516464215	484	230	714	229
Sat Jan 20 16:03:35 2018	1516464215	485	230	715	229
Sat Jan 20 16:03:47 2018	1516464227	509	208	717	207
Sat Jan 20 16:03:47 2018	1516464227	512	205	717	203
Sat Jan 20 16:03:34 2018	1516464214	581	137	717	136
Sat Jan 20 16:03:47 2018	1516464227	525	193	717	151
Sat Jan 20 16:03:05 2018	1516464185	533	185	718	184
Sat Jan 20 16:03:47 2018	1516464227	510	208	718	207
Sat Jan 20 16:03:10 2018	1516464190	532	186	718	185
Sat Jan 20 16:03:05 2018	1516464185	534	186	719	183
Sat Jan 20 16:03:05 2018	1516464185	533	186	719	183
Sat Jan 20 16:03:35 2018	1516464215	408	312	720	309
Sat Jan 20 16:03:10 2018	1516464190	552	168	720	161
Sat Jan 20 16:03:35 2018	1516464215	414	306	720	302
Sat Jan 20 16:03:05 2018	1516464185	536	185	721	184
Sat Jan 20 16:03:05 2018	1516464185	536	185	721	183
Sat Jan 20 16:03:05 2018	1516464185	536	185	721	184
Sat Jan 20 16:03:10 2018	1516464190	554	168	722	161
Sat Jan 20 16:03:46 2018	1516464226	596	127	723	126
Sat Jan 20 16:01:35 2018	1516464095	589	141	729	140
Sat Jan 20 16:03:40 2018	1516464220	560	172	732	172
Sat Jan 20 16:03:40 2018	1516464220	525	207	733	206
Sat Jan 20 16:03:40 2018	1516464220	494	238	733	237
