starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 20 16:09:57 2018	1516464597	824	339	1163	339
Sat Jan 20 16:09:57 2018	1516464597	824	341	1164	339
Sat Jan 20 16:09:57 2018	1516464597	823	348	1171	348
Sat Jan 20 16:09:57 2018	1516464597	823	349	1173	349
Sat Jan 20 16:09:57 2018	1516464597	823	351	1174	349
Sat Jan 20 16:09:57 2018	1516464597	824	350	1175	349
Sat Jan 20 16:09:57 2018	1516464597	824	351	1175	350
Sat Jan 20 16:09:57 2018	1516464597	826	349	1175	349
Sat Jan 20 16:09:57 2018	1516464597	826	349	1175	349
Sat Jan 20 16:09:57 2018	1516464597	824	351	1176	351
Sat Jan 20 16:09:57 2018	1516464597	826	350	1176	349
Sat Jan 20 16:09:57 2018	1516464597	824	352	1177	351
Sat Jan 20 16:09:57 2018	1516464597	824	352	1177	352
Sat Jan 20 16:09:57 2018	1516464597	824	356	1180	356
Sat Jan 20 16:09:57 2018	1516464597	825	370	1195	368
Sat Jan 20 16:09:57 2018	1516464597	823	371	1195	369
Sat Jan 20 16:09:57 2018	1516464597	824	372	1196	369
Sat Jan 20 16:09:57 2018	1516464597	824	372	1196	370
Sat Jan 20 16:09:57 2018	1516464597	825	372	1197	369
Sat Jan 20 16:09:57 2018	1516464597	826	371	1197	368
Sat Jan 20 16:09:57 2018	1516464597	824	374	1198	371
Sat Jan 20 16:09:57 2018	1516464597	825	373	1198	369
Sat Jan 20 16:09:57 2018	1516464597	824	375	1199	372
Sat Jan 20 16:09:57 2018	1516464597	824	376	1199	372
Sat Jan 20 16:09:57 2018	1516464597	823	377	1200	373
Sat Jan 20 16:09:57 2018	1516464597	824	376	1200	373
Sat Jan 20 16:09:57 2018	1516464597	824	377	1201	373
Sat Jan 20 16:09:57 2018	1516464597	824	378	1201	374
Sat Jan 20 16:09:57 2018	1516464597	823	379	1202	375
Sat Jan 20 16:09:57 2018	1516464597	823	379	1202	376
Sat Jan 20 16:09:57 2018	1516464597	824	402	1227	398
Sat Jan 20 16:09:57 2018	1516464597	824	403	1227	400
