starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 20 06:59:49 2018	1516431589	57	155	211	152
Sat Jan 20 07:00:05 2018	1516431605	64	157	221	155
Sat Jan 20 07:00:09 2018	1516431609	60	164	224	160
Sat Jan 20 06:59:48 2018	1516431588	64	160	224	157
Sat Jan 20 06:59:31 2018	1516431571	70	161	232	158
Sat Jan 20 06:59:42 2018	1516431582	58	221	279	217
Sat Jan 20 06:59:46 2018	1516431586	60	220	280	212
Sat Jan 20 06:59:42 2018	1516431582	59	221	280	212
Sat Jan 20 06:59:44 2018	1516431584	58	229	287	226
Sat Jan 20 07:00:06 2018	1516431606	57	234	291	229
Sat Jan 20 06:59:42 2018	1516431582	67	238	305	236
Sat Jan 20 06:59:29 2018	1516431569	63	243	306	241
Sat Jan 20 07:00:09 2018	1516431609	57	250	306	248
Sat Jan 20 07:00:11 2018	1516431611	64	243	306	241
Sat Jan 20 06:59:58 2018	1516431598	60	247	307	245
Sat Jan 20 06:59:59 2018	1516431599	61	246	307	244
Sat Jan 20 06:59:22 2018	1516431562	58	249	307	247
Sat Jan 20 06:59:47 2018	1516431587	67	240	307	239
Sat Jan 20 06:59:22 2018	1516431562	57	250	307	248
Sat Jan 20 07:00:08 2018	1516431608	61	246	307	244
Sat Jan 20 07:00:11 2018	1516431611	59	248	307	247
Sat Jan 20 07:00:09 2018	1516431609	70	238	308	236
Sat Jan 20 06:59:59 2018	1516431599	65	243	308	242
Sat Jan 20 06:59:28 2018	1516431568	63	246	309	244
Sat Jan 20 07:00:05 2018	1516431605	58	252	310	244
Sat Jan 20 06:59:46 2018	1516431586	61	256	317	254
Sat Jan 20 06:59:46 2018	1516431586	60	274	334	272
Sat Jan 20 06:59:44 2018	1516431584	58	278	337	273
Sat Jan 20 06:59:49 2018	1516431589	59	286	345	285
Sat Jan 20 06:59:47 2018	1516431587	62	286	348	282
Sat Jan 20 06:59:38 2018	1516431578	57	294	351	290
Sat Jan 20 06:59:25 2018	1516431565	65	286	351	284
Sat Jan 20 06:59:43 2018	1516431583	59	302	361	301
Sat Jan 20 06:59:52 2018	1516431592	195	179	374	179
Sat Jan 20 07:00:03 2018	1516431603	65	314	378	308
Sat Jan 20 06:59:45 2018	1516431585	60	319	379	310
Sat Jan 20 06:59:16 2018	1516431556	88	294	381	291
Sat Jan 20 06:59:48 2018	1516431588	57	332	389	331
