starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 20 08:28:30 2018	1516436910	70	147	217	144
Sat Jan 20 08:28:30 2018	1516436910	66	154	220	150
Sat Jan 20 08:28:22 2018	1516436902	68	154	221	150
Sat Jan 20 08:28:30 2018	1516436910	77	150	227	147
Sat Jan 20 08:28:19 2018	1516436899	71	157	228	155
Sat Jan 20 08:28:21 2018	1516436901	63	168	231	165
Sat Jan 20 08:28:28 2018	1516436908	80	165	244	162
Sat Jan 20 08:28:28 2018	1516436908	96	152	248	148
Sat Jan 20 08:28:30 2018	1516436910	80	168	248	155
Sat Jan 20 08:28:30 2018	1516436910	84	164	249	151
Sat Jan 20 08:28:21 2018	1516436901	72	179	251	170
Sat Jan 20 08:28:28 2018	1516436908	93	162	255	155
Sat Jan 20 08:28:27 2018	1516436907	100	158	258	153
Sat Jan 20 08:28:28 2018	1516436908	104	156	260	155
Sat Jan 20 08:28:32 2018	1516436912	98	162	260	156
Sat Jan 20 08:28:32 2018	1516436912	101	161	262	154
Sat Jan 20 08:28:24 2018	1516436904	96	171	267	171
Sat Jan 20 08:28:31 2018	1516436911	109	159	268	157
Sat Jan 20 08:28:31 2018	1516436911	106	168	275	163
Sat Jan 20 08:28:31 2018	1516436911	107	168	276	163
Sat Jan 20 08:28:31 2018	1516436911	109	168	278	159
Sat Jan 20 08:28:27 2018	1516436907	106	172	279	167
Sat Jan 20 08:28:27 2018	1516436907	99	179	279	172
Sat Jan 20 08:28:28 2018	1516436908	99	180	279	172
Sat Jan 20 08:28:28 2018	1516436908	71	208	279	206
Sat Jan 20 08:28:27 2018	1516436907	95	188	283	185
Sat Jan 20 08:28:33 2018	1516436913	124	159	283	155
Sat Jan 20 08:28:24 2018	1516436904	82	202	284	201
Sat Jan 20 08:28:21 2018	1516436901	58	227	284	219
Sat Jan 20 08:28:21 2018	1516436901	72	213	286	211
Sat Jan 20 08:28:21 2018	1516436901	68	218	286	214
Sat Jan 20 08:28:34 2018	1516436914	106	182	288	177
Sat Jan 20 08:28:22 2018	1516436902	67	222	289	214
Sat Jan 20 08:28:34 2018	1516436914	108	181	289	177
Sat Jan 20 08:28:34 2018	1516436914	135	155	289	149
Sat Jan 20 08:28:24 2018	1516436904	95	195	290	192
Sat Jan 20 08:28:18 2018	1516436898	67	223	290	217
Sat Jan 20 08:28:26 2018	1516436906	75	215	290	212
Sat Jan 20 08:28:19 2018	1516436899	61	229	290	219
Sat Jan 20 08:28:22 2018	1516436902	74	217	290	209
Sat Jan 20 08:28:23 2018	1516436903	81	210	290	207
Sat Jan 20 08:28:24 2018	1516436904	88	203	291	185
Sat Jan 20 08:28:19 2018	1516436899	57	234	291	230
Sat Jan 20 08:28:27 2018	1516436907	108	183	291	182
Sat Jan 20 08:28:27 2018	1516436907	109	183	292	181
Sat Jan 20 08:28:25 2018	1516436905	82	210	292	207
Sat Jan 20 08:28:22 2018	1516436902	69	224	293	222
Sat Jan 20 08:28:28 2018	1516436908	121	172	293	166
Sat Jan 20 08:28:19 2018	1516436899	63	231	294	228
Sat Jan 20 08:28:23 2018	1516436903	83	211	294	208
Sat Jan 20 08:28:23 2018	1516436903	78	215	294	203
Sat Jan 20 08:28:33 2018	1516436913	112	182	294	176
Sat Jan 20 08:28:28 2018	1516436908	94	200	294	196
Sat Jan 20 08:28:28 2018	1516436908	123	171	294	166
Sat Jan 20 08:28:31 2018	1516436911	141	153	295	149
Sat Jan 20 08:28:21 2018	1516436901	86	209	295	202
Sat Jan 20 08:28:22 2018	1516436902	62	233	295	229
Sat Jan 20 08:28:23 2018	1516436903	61	234	295	232
Sat Jan 20 08:28:33 2018	1516436913	129	167	295	155
Sat Jan 20 08:28:36 2018	1516436916	127	169	296	167
Sat Jan 20 08:28:21 2018	1516436901	64	232	296	229
Sat Jan 20 08:28:18 2018	1516436898	61	235	296	230
Sat Jan 20 08:28:33 2018	1516436913	103	193	296	192
Sat Jan 20 08:28:28 2018	1516436908	106	190	297	180
Sat Jan 20 08:28:27 2018	1516436907	122	174	297	170
Sat Jan 20 08:28:33 2018	1516436913	104	193	297	192
Sat Jan 20 08:28:23 2018	1516436903	88	209	297	206
Sat Jan 20 08:28:24 2018	1516436904	73	224	297	217
Sat Jan 20 08:28:25 2018	1516436905	73	224	297	222
Sat Jan 20 08:28:21 2018	1516436901	70	227	297	222
Sat Jan 20 08:28:23 2018	1516436903	91	206	297	204
Sat Jan 20 08:28:27 2018	1516436907	142	155	297	154
Sat Jan 20 08:28:34 2018	1516436914	117	180	297	174
Sat Jan 20 08:28:21 2018	1516436901	86	212	297	206
Sat Jan 20 08:28:19 2018	1516436899	60	237	298	233
Sat Jan 20 08:28:23 2018	1516436903	88	210	298	207
Sat Jan 20 08:28:27 2018	1516436907	109	190	299	184
Sat Jan 20 08:28:21 2018	1516436901	68	231	299	228
Sat Jan 20 08:28:24 2018	1516436904	79	220	299	218
Sat Jan 20 08:28:23 2018	1516436903	73	227	299	217
Sat Jan 20 08:28:33 2018	1516436913	143	157	299	154
Sat Jan 20 08:28:26 2018	1516436906	107	193	300	191
Sat Jan 20 08:28:21 2018	1516436901	81	219	300	216
Sat Jan 20 08:28:24 2018	1516436904	94	206	300	202
Sat Jan 20 08:28:24 2018	1516436904	80	221	300	217
Sat Jan 20 08:28:22 2018	1516436902	63	238	301	230
Sat Jan 20 08:28:33 2018	1516436913	130	172	302	168
Sat Jan 20 08:28:24 2018	1516436904	93	208	302	197
Sat Jan 20 08:28:30 2018	1516436910	63	239	302	238
Sat Jan 20 08:28:22 2018	1516436902	65	237	302	234
Sat Jan 20 08:28:22 2018	1516436902	81	221	302	213
Sat Jan 20 08:28:21 2018	1516436901	75	228	303	225
Sat Jan 20 08:28:23 2018	1516436903	80	223	303	216
Sat Jan 20 08:28:26 2018	1516436906	73	230	303	215
Sat Jan 20 08:28:28 2018	1516436908	108	196	304	182
